Common Name,Scientific Name,Growth Type,Edible,Medicinal Use,Optimal Temperature (°C),Humidity Preference (%),Sunlight Requirement,Climate Suitability,Preferred Soil Type,Soil pH Range,Water Requirement,Irrigation Frequency,Germination Time (Days),Time to Harvest (Days),Companion Planting Suitability,Pruning Requirement,Common Pests,Disease Resistance,Nitrogen Need,Phosphorus Need,Potassium Need,Recommended Organic Fertilizers,Suitable for Region,Suitable for Season
Mint,Mentha,Herb,Yes,Yes,15,61,Full Sun,Temperate,Clay,5.6,Low,Weekly,11,109,Bad,Yes,None,Bacterial,Low,Medium,High,Vermicompost,Delhi,Monsoon
Tomato,Solanum lycopersicum,Herb,Yes,No,33,62,Full Sun,Subtropical,Peaty,6.7,High,Weekly,10,32,Bad,No,None,None,Medium,High,Low,Manure,Delhi,Winter
Spinach,Spinacia oleracea,Herb,Yes,No,17,83,Shade,Tropical,Clay,6.3,Medium,Weekly,17,98,Bad,Yes,None,Bacterial,Medium,Medium,High,Manure,Hyderabad,Monsoon
Coriander,Coriandrum sativum,Herb,Yes,Yes,20,73,Partial Shade,Subtropical,Silt,6.0,Low,Daily,16,97,Bad,Yes,Aphids,Fungal,Medium,High,Medium,Compost,Delhi,Winter
Tomato,Solanum lycopersicum,Herb,Yes,No,32,89,Shade,Subtropical,Clay,6.5,Low,Weekly,8,119,Good,No,Bacterial,Fungal,Medium,Medium,High,Compost,Hyderabad,Monsoon
Radish,Raphanus sativus,Herb,Yes,No,18,43,Partial Shade,Temperate,Clay,6.9,High,Daily,16,62,Bad,No,Fungal,Viral,Medium,High,High,Compost,Hyderabad,Monsoon
Lettuce,Lactuca sativa,Herb,Yes,No,19,54,Shade,Subtropical,Silt,5.9,Low,Weekly,5,39,Bad,No,Bacterial,Fungal,Medium,High,Low,Compost,Delhi,Summer
Pumpkin,Cucurbita pepo,Vine,Yes,No,24,71,Shade,Tropical,Sandy,5.9,Low,Daily,5,67,Good,Yes,Bacterial,Fungal,High,High,Medium,Compost,Bangalore,Monsoon
Mint,Mentha,Herb,Yes,Yes,18,52,Partial Shade,Tropical,Loam,6.8,Low,Daily,19,53,Bad,Yes,Bacterial,Viral,Medium,High,Low,Manure,Bangalore,Monsoon
Radish,Raphanus sativus,Herb,Yes,No,29,86,Shade,Arid,Sandy,7.0,Low,Weekly,9,46,Good,Yes,Caterpillars,Viral,High,High,High,Vermicompost,Mumbai,Monsoon
Coriander,Coriandrum sativum,Herb,Yes,Yes,24,62,Shade,Tropical,Clay,6.9,Low,Daily,19,102,Bad,Yes,Aphids,Viral,Medium,Low,High,Manure,Mumbai,Winter
Radish,Raphanus sativus,Herb,Yes,No,26,62,Partial Shade,Tropical,Clay,5.8,Medium,Weekly,11,114,Bad,No,Aphids,Bacterial,Low,Low,Medium,Vermicompost,Bangalore,Summer
Tomato,Solanum lycopersicum,Herb,Yes,No,29,58,Partial Shade,Arid,Clay,5.7,High,Weekly,20,51,Good,Yes,Fungal,None,Medium,High,Medium,Compost,Chennai,Monsoon
Lettuce,Lactuca sativa,Herb,Yes,No,19,40,Partial Shade,Tropical,Loam,7.5,Low,Daily,7,77,Good,No,Caterpillars,Viral,Low,Medium,Medium,Vermicompost,Chennai,Winter
Tomato,Solanum lycopersicum,Herb,Yes,No,35,73,Shade,Tropical,Sandy,6.1,Medium,Daily,7,120,Good,No,Bacterial,Bacterial,High,Low,Low,Vermicompost,Mumbai,Winter
Radish,Raphanus sativus,Herb,Yes,No,21,89,Shade,Tropical,Peaty,6.6,Medium,Weekly,16,34,Good,No,Fungal,None,Low,High,Medium,Manure,Hyderabad,Winter
Lettuce,Lactuca sativa,Herb,Yes,No,17,78,Full Sun,Subtropical,Sandy,6.5,Medium,Weekly,8,78,Good,Yes,Fungal,Fungal,Medium,High,Low,Manure,Chennai,Winter
Basil,Ocimum basilicum,Herb,Yes,Yes,29,75,Full Sun,Temperate,Silt,7.3,Medium,Weekly,15,44,Bad,No,Caterpillars,Bacterial,Medium,Low,Medium,Compost,Mumbai,Winter
Carrot,Daucus carota,Herb,Yes,No,31,65,Full Sun,Tropical,Silt,5.9,Medium,Daily,10,100,Bad,No,Aphids,Viral,Low,Medium,Low,Manure,Bangalore,Summer
Spinach,Spinacia oleracea,Herb,Yes,No,17,68,Shade,Subtropical,Sandy,7.3,Medium,Weekly,11,38,Good,No,Fungal,Viral,High,Medium,Low,Compost,Chennai,Monsoon
Coriander,Coriandrum sativum,Herb,Yes,Yes,33,62,Partial Shade,Temperate,Clay,6.4,Medium,Weekly,19,80,Good,Yes,None,None,High,Low,High,Manure,Chennai,Summer
Radish,Raphanus sativus,Herb,Yes,No,32,74,Shade,Subtropical,Silt,6.3,High,Weekly,19,33,Good,No,Caterpillars,None,Low,Low,Medium,Vermicompost,Mumbai,Summer
Spinach,Spinacia oleracea,Herb,Yes,No,23,44,Full Sun,Tropical,Silt,7.0,Low,Daily,7,100,Bad,Yes,None,Viral,Medium,Medium,Low,Compost,Mumbai,Monsoon
Lettuce,Lactuca sativa,Herb,Yes,No,20,85,Partial Shade,Tropical,Peaty,6.7,Medium,Weekly,12,57,Bad,No,Fungal,None,Medium,Low,High,Vermicompost,Hyderabad,Monsoon
Mint,Mentha,Herb,Yes,Yes,21,56,Full Sun,Tropical,Loam,5.7,Medium,Daily,16,74,Good,Yes,Caterpillars,Viral,High,Low,High,Compost,Chennai,Monsoon
Basil,Ocimum basilicum,Herb,Yes,Yes,17,83,Shade,Temperate,Peaty,5.6,Medium,Weekly,16,110,Good,No,Fungal,Fungal,Medium,Low,Medium,Compost,Bangalore,Summer
Spinach,Spinacia oleracea,Herb,Yes,No,19,77,Full Sun,Tropical,Sandy,7.0,Low,Daily,6,46,Good,No,None,None,Low,High,High,Vermicompost,Mumbai,Monsoon
Coriander,Coriandrum sativum,Herb,Yes,Yes,28,65,Partial Shade,Temperate,Sandy,5.5,Low,Daily,17,41,Good,No,Fungal,Fungal,Medium,High,Medium,Vermicompost,Delhi,Winter
Spinach,Spinacia oleracea,Herb,Yes,No,29,52,Shade,Tropical,Loam,6.7,Low,Weekly,5,98,Good,Yes,Caterpillars,Bacterial,High,Medium,Medium,Manure,Hyderabad,Winter
Tomato,Solanum lycopersicum,Herb,Yes,No,29,89,Partial Shade,Subtropical,Loam,6.2,Low,Daily,19,41,Bad,Yes,None,None,Medium,Low,Medium,Manure,Mumbai,Summer
Coriander,Coriandrum sativum,Herb,Yes,Yes,16,56,Partial Shade,Subtropical,Clay,5.9,High,Daily,10,40,Good,No,Aphids,Viral,Low,Low,Low,Vermicompost,Hyderabad,Summer
Spinach,Spinacia oleracea,Herb,Yes,No,24,62,Shade,Temperate,Silt,5.9,Low,Daily,9,102,Bad,Yes,None,Fungal,Medium,High,High,Manure,Bangalore,Summer
Carrot,Daucus carota,Herb,Yes,No,25,43,Full Sun,Temperate,Peaty,6.7,Medium,Daily,20,110,Bad,Yes,Caterpillars,Fungal,High,High,Medium,Vermicompost,Mumbai,Monsoon
Chili,Capsicum annuum,Shrub,Yes,No,23,73,Full Sun,Subtropical,Loam,7.2,High,Weekly,9,95,Bad,No,Fungal,Fungal,High,Medium,Medium,Compost,Delhi,Monsoon
Basil,Ocimum basilicum,Herb,Yes,Yes,19,41,Partial Shade,Subtropical,Sandy,6.1,Medium,Weekly,19,105,Good,Yes,Fungal,None,High,Medium,Low,Compost,Mumbai,Summer
Tomato,Solanum lycopersicum,Herb,Yes,No,30,50,Shade,Tropical,Loam,6.7,High,Daily,17,96,Bad,No,Fungal,Fungal,Medium,Low,High,Manure,Delhi,Monsoon
Radish,Raphanus sativus,Herb,Yes,No,16,71,Full Sun,Tropical,Clay,5.8,Medium,Weekly,14,43,Bad,Yes,None,Fungal,Low,Low,Medium,Vermicompost,Delhi,Summer
Pumpkin,Cucurbita pepo,Vine,Yes,No,18,83,Partial Shade,Arid,Loam,7.0,Low,Weekly,8,34,Bad,Yes,None,None,Low,High,Low,Vermicompost,Chennai,Monsoon
Tomato,Solanum lycopersicum,Herb,Yes,No,28,43,Shade,Tropical,Peaty,6.3,Medium,Daily,20,75,Bad,No,Caterpillars,Viral,Low,Medium,Low,Compost,Hyderabad,Summer
Coriander,Coriandrum sativum,Herb,Yes,Yes,32,54,Partial Shade,Arid,Silt,5.7,Low,Weekly,11,100,Bad,No,Fungal,None,High,Medium,Medium,Vermicompost,Hyderabad,Monsoon
Carrot,Daucus carota,Herb,Yes,No,16,65,Partial Shade,Arid,Clay,6.8,Low,Daily,11,49,Bad,No,Caterpillars,Viral,Medium,Low,High,Manure,Chennai,Winter
Mint,Mentha,Herb,Yes,Yes,33,88,Shade,Subtropical,Clay,7.0,Low,Weekly,15,79,Bad,Yes,Bacterial,Fungal,Medium,High,Low,Compost,Hyderabad,Summer
Pumpkin,Cucurbita pepo,Vine,Yes,No,21,65,Partial Shade,Tropical,Clay,6.0,Low,Daily,19,117,Good,Yes,Caterpillars,None,High,High,Low,Compost,Delhi,Summer
Lettuce,Lactuca sativa,Herb,Yes,No,18,48,Partial Shade,Arid,Clay,6.7,Medium,Weekly,18,83,Good,No,Aphids,Fungal,Medium,Medium,Low,Compost,Mumbai,Winter
Carrot,Daucus carota,Herb,Yes,No,21,90,Shade,Temperate,Clay,6.9,Low,Daily,16,52,Good,No,Bacterial,Viral,Medium,Medium,High,Manure,Hyderabad,Summer
Spinach,Spinacia oleracea,Herb,Yes,No,24,90,Shade,Temperate,Loam,6.8,Medium,Weekly,20,52,Bad,No,Fungal,None,Medium,Low,Medium,Manure,Chennai,Winter
Basil,Ocimum basilicum,Herb,Yes,Yes,20,40,Shade,Temperate,Peaty,6.1,Medium,Weekly,15,105,Bad,No,Aphids,None,High,Low,Low,Vermicompost,Hyderabad,Monsoon
Coriander,Coriandrum sativum,Herb,Yes,Yes,24,64,Shade,Tropical,Peaty,6.9,High,Daily,17,119,Good,No,None,Viral,Medium,Medium,Medium,Vermicompost,Bangalore,Summer
Lettuce,Lactuca sativa,Herb,Yes,No,30,58,Full Sun,Tropical,Loam,6.2,Low,Daily,6,84,Bad,Yes,Bacterial,Viral,Low,Medium,High,Manure,Delhi,Winter
Coriander,Coriandrum sativum,Herb,Yes,Yes,17,84,Shade,Arid,Peaty,6.0,High,Daily,18,106,Bad,Yes,Fungal,None,Medium,Low,Medium,Vermicompost,Hyderabad,Summer
Lettuce,Lactuca sativa,Herb,Yes,No,24,71,Full Sun,Arid,Loam,6.2,High,Weekly,18,55,Good,No,Aphids,Fungal,Low,Medium,Low,Compost,Hyderabad,Summer
Pumpkin,Cucurbita pepo,Vine,Yes,No,32,63,Full Sun,Subtropical,Peaty,6.0,Medium,Weekly,6,70,Good,No,None,Bacterial,High,Low,Low,Vermicompost,Mumbai,Winter
Tomato,Solanum lycopersicum,Herb,Yes,No,26,44,Partial Shade,Arid,Loam,7.3,Medium,Daily,11,93,Bad,Yes,Fungal,Fungal,Medium,High,Medium,Vermicompost,Bangalore,Summer
Chili,Capsicum annuum,Shrub,Yes,No,23,41,Shade,Arid,Clay,6.4,Medium,Weekly,8,98,Bad,No,Caterpillars,None,Low,Low,Low,Manure,Chennai,Monsoon
Radish,Raphanus sativus,Herb,Yes,No,22,66,Partial Shade,Arid,Clay,6.5,High,Weekly,17,116,Bad,No,Fungal,Bacterial,Medium,Low,Medium,Vermicompost,Bangalore,Summer
Basil,Ocimum basilicum,Herb,Yes,Yes,29,45,Shade,Temperate,Clay,6.0,Medium,Daily,13,109,Good,Yes,Bacterial,Fungal,Low,Low,Medium,Manure,Delhi,Summer
Radish,Raphanus sativus,Herb,Yes,No,34,80,Full Sun,Tropical,Peaty,5.9,Medium,Daily,17,107,Bad,Yes,None,None,Low,Medium,High,Manure,Mumbai,Monsoon
Tomato,Solanum lycopersicum,Herb,Yes,No,33,41,Partial Shade,Temperate,Loam,7.2,High,Daily,11,87,Bad,No,None,Fungal,High,Medium,High,Compost,Bangalore,Winter
Basil,Ocimum basilicum,Herb,Yes,Yes,24,58,Full Sun,Temperate,Silt,6.8,High,Weekly,8,33,Bad,Yes,Aphids,Fungal,Medium,Medium,Medium,Compost,Mumbai,Winter
Lettuce,Lactuca sativa,Herb,Yes,No,21,44,Full Sun,Temperate,Peaty,7.1,Medium,Daily,9,84,Bad,Yes,None,None,High,Low,Medium,Vermicompost,Bangalore,Summer
Chili,Capsicum annuum,Shrub,Yes,No,33,76,Full Sun,Subtropical,Clay,6.2,Low,Daily,18,118,Good,Yes,Bacterial,None,Medium,High,High,Compost,Bangalore,Summer
Coriander,Coriandrum sativum,Herb,Yes,Yes,32,41,Partial Shade,Subtropical,Silt,7.0,Low,Weekly,10,44,Bad,Yes,None,Bacterial,High,Medium,Medium,Compost,Delhi,Winter
Radish,Raphanus sativus,Herb,Yes,No,17,53,Partial Shade,Tropical,Peaty,7.5,Medium,Daily,16,120,Bad,Yes,Fungal,Viral,Medium,Medium,Low,Compost,Chennai,Summer
Coriander,Coriandrum sativum,Herb,Yes,Yes,20,63,Full Sun,Temperate,Sandy,6.4,Low,Weekly,6,107,Bad,No,Aphids,None,Low,Medium,Low,Manure,Chennai,Monsoon
Mint,Mentha,Herb,Yes,Yes,18,46,Partial Shade,Temperate,Sandy,6.0,Low,Daily,10,101,Good,No,Fungal,None,Medium,Low,Medium,Vermicompost,Bangalore,Winter
Pumpkin,Cucurbita pepo,Vine,Yes,No,18,90,Partial Shade,Arid,Sandy,7.4,High,Weekly,20,44,Good,No,Bacterial,None,High,Low,Low,Manure,Bangalore,Monsoon
Mint,Mentha,Herb,Yes,Yes,28,73,Shade,Subtropical,Sandy,7.2,Medium,Weekly,18,89,Good,No,Fungal,Bacterial,High,Medium,High,Compost,Hyderabad,Monsoon
Spinach,Spinacia oleracea,Herb,Yes,No,25,65,Partial Shade,Arid,Silt,6.5,Medium,Daily,20,120,Bad,Yes,Bacterial,Bacterial,Low,Low,High,Manure,Bangalore,Summer
Tomato,Solanum lycopersicum,Herb,Yes,No,25,56,Partial Shade,Temperate,Loam,5.8,High,Daily,13,56,Bad,No,None,Fungal,Low,High,High,Manure,Mumbai,Summer
Spinach,Spinacia oleracea,Herb,Yes,No,22,46,Full Sun,Subtropical,Sandy,5.6,High,Daily,11,120,Bad,Yes,Caterpillars,Bacterial,High,High,Low,Manure,Hyderabad,Winter
Lettuce,Lactuca sativa,Herb,Yes,No,16,63,Partial Shade,Temperate,Loam,6.6,Low,Weekly,11,95,Good,Yes,Caterpillars,Fungal,Low,Medium,High,Vermicompost,Delhi,Monsoon
Carrot,Daucus carota,Herb,Yes,No,30,60,Shade,Arid,Peaty,6.3,High,Daily,7,52,Good,No,None,Fungal,High,Medium,High,Vermicompost,Bangalore,Summer
Basil,Ocimum basilicum,Herb,Yes,Yes,24,43,Partial Shade,Arid,Silt,6.6,Medium,Daily,6,55,Good,Yes,Bacterial,Viral,High,High,Medium,Compost,Chennai,Summer
Basil,Ocimum basilicum,Herb,Yes,Yes,33,85,Shade,Subtropical,Silt,6.1,Low,Daily,11,49,Bad,Yes,None,Viral,High,Low,Medium,Compost,Hyderabad,Summer
Basil,Ocimum basilicum,Herb,Yes,Yes,28,70,Partial Shade,Temperate,Loam,6.1,High,Daily,13,69,Bad,No,Fungal,Viral,Low,High,Medium,Vermicompost,Mumbai,Summer
Spinach,Spinacia oleracea,Herb,Yes,No,22,64,Partial Shade,Temperate,Loam,7.3,Medium,Weekly,5,95,Good,Yes,None,Fungal,High,High,Medium,Vermicompost,Bangalore,Monsoon
Chili,Capsicum annuum,Shrub,Yes,No,21,67,Partial Shade,Arid,Loam,6.0,Low,Daily,5,41,Good,Yes,Aphids,None,High,Medium,High,Vermicompost,Chennai,Winter
Lettuce,Lactuca sativa,Herb,Yes,No,34,41,Full Sun,Temperate,Peaty,6.9,High,Weekly,16,96,Bad,No,None,Bacterial,High,Low,Low,Vermicompost,Mumbai,Summer
Coriander,Coriandrum sativum,Herb,Yes,Yes,16,46,Partial Shade,Temperate,Clay,7.2,High,Daily,16,38,Good,No,Aphids,Fungal,Medium,Low,High,Vermicompost,Bangalore,Summer
Carrot,Daucus carota,Herb,Yes,No,17,48,Partial Shade,Subtropical,Loam,6.7,High,Weekly,18,78,Bad,Yes,None,None,High,High,Medium,Manure,Chennai,Winter
Basil,Ocimum basilicum,Herb,Yes,Yes,25,78,Partial Shade,Arid,Loam,5.6,Low,Daily,10,37,Good,Yes,Aphids,Fungal,High,High,High,Compost,Bangalore,Winter
Tomato,Solanum lycopersicum,Herb,Yes,No,27,79,Full Sun,Temperate,Silt,5.6,Low,Daily,6,55,Good,No,Caterpillars,None,Low,Medium,High,Manure,Delhi,Winter
Tomato,Solanum lycopersicum,Herb,Yes,No,27,84,Full Sun,Subtropical,Clay,7.0,Low,Daily,12,93,Bad,Yes,Aphids,Fungal,Medium,Low,Low,Compost,Mumbai,Summer
Mint,Mentha,Herb,Yes,Yes,30,47,Partial Shade,Tropical,Peaty,6.1,Medium,Weekly,19,111,Good,No,Fungal,Fungal,Medium,High,Low,Vermicompost,Hyderabad,Summer
Tomato,Solanum lycopersicum,Herb,Yes,No,34,53,Full Sun,Tropical,Silt,5.7,Medium,Daily,13,39,Good,No,Caterpillars,None,High,Low,Medium,Compost,Bangalore,Summer
Basil,Ocimum basilicum,Herb,Yes,Yes,27,40,Partial Shade,Subtropical,Clay,5.9,Low,Daily,5,67,Bad,No,Fungal,Fungal,High,High,Medium,Manure,Delhi,Summer
Spinach,Spinacia oleracea,Herb,Yes,No,28,72,Shade,Tropical,Clay,7.0,High,Weekly,14,88,Bad,No,Fungal,Fungal,High,Low,High,Manure,Mumbai,Winter
Tomato,Solanum lycopersicum,Herb,Yes,No,16,80,Full Sun,Temperate,Loam,6.0,Medium,Weekly,10,89,Good,No,Caterpillars,None,Medium,Medium,Low,Compost,Delhi,Monsoon
